order_id,order_date,customer_email,customer_name,product_id,product_name,category,quantity,unit_price,total_amount,discount,shipping_cost,order_status,payment_method,shipping_address,country,currency
WEB05935,23-Oct-2024,katherine.carter@gmail.com,Katherine Carter,prod-007,Webcam HD 1080p,Electronics,3,49.96,136.64,20.81,7.57,Pending,Apple Pay,66995 Valencia Road,United Kingdom,GBP
WEB16657,2024-08-05,JACQUELINE.BRADY@GMAIL.COM,,PROD010,Bluetooth Speaker Waterproof,Electronics,2,77.01,162.03,0.0,8.01,Shipped,PayPal,55237 Steven Ranch,United States,USD
WEB17997,2023/03/31,johngrimes@yahoo.com,John Grimes,P051,Sleeping Bag Cold Weather,Sports,2,68.37,148.22,0.0,11.48,Returned,PayPal,4173 Harris Garden Apt. 124,United States,USD
WEB29492,2023-12-29,HAROLD.WALTON@GMAIL.COM,Harold Walton,PROD-017,Women's Yoga Pants,Fashion,3,44.14,123.29,16.33,7.2,Shipped,Debit Card,8886 Ellis Knolls,United States,USD
WEB16606,09/22/2024,AARON.KELLY@HOTMAIL.COM,Aaron Kelly,prod-063,Fiction Novel Bestseller,Books,1,24.13,37.26,0.16,13.29,In Progress,PayPal,557 Williams Mill Suite 032,United States,USD
WEB32485,08/25/2024,kristina.harper@yahoo.com,Kristina Harper,P071,Skincare Set Anti-Aging,Beauty,1,100.56,112.0,0.0,11.44,pending,Google Pay,407 Bishop Via Apt. 176,United States,USD
WEB28863,04-Sep-2024,sherrykerr@yahoo.com,Sherry Kerr,P004,Laptop Sleeve 15 inch,Electronics,1,27.99,41.11,0.0,13.12,Delivered,Apple Pay,92224 Nancy Fords Suite 638,United States,USD
WEB09494,2023/06/12,Curtis.thompson@yahoo.com,Curtis Thompson,PROD-021,Winter Jacket Insulated,Fashion,2,178.2,369.38,0.0,12.98,Cancelled,Debit Card,985 Allen Greens,United States,USD
WEB23909,04-May-2024,Kevin.atkinson@yahoo.com,Kevin Atkinson,prod-078,Nail Polish Set 10 Colors,Beauty,2,22.35,45.01,6.26,6.57,Delivered,PayPal,688 Jones Rue Apt. 226,United States,USD
WEB03263,04/19/2024,gregorymarshall@hotmail.com,Gregory Marshall,PROD025,Dress Shirt Long Sleeve,Fashion,1,36.61,48.25,0.0,11.64,SHIPPED,Google Pay,1570 Noah Garden,France,EUR
WEB02989,2023/09/15,michelejones@yahoo.com,Michele Jones,PROD-039,Blender High-Speed,Home & Kitchen,2,67.05,146.11,0.0,12.01,Completed,Credit Card,2100 Rebecca Wall,United States,USD
WEB09959,2023/12/21,jasoncruz@gmail.com,Jason Cruz,prod-051,Sleeping Bag Cold Weather,Sports,1,125.12,122.07,13.29,10.24,canceled,Apple Pay,34043 Katherine Vista Apt. 246,United States,USD
WEB22314,2024/07/26,tomjohnson@gmail.com,Tom Johnson,PROD032,Coffee Maker 12-Cup,Home & Kitchen,1,105.64,117.04,0.0,11.4,returned,Credit Card,7672 David Fords,United States,usd
WEB05898,2024-12-20,SERGIO.HARRIS@YAHOO.COM,Sergio Harris,PROD-041,Storage Bins Set of 6,Home & Kitchen,1,21.99,30.71,3.74,12.46,Completed,Credit Card,,United States,USD
WEB18341,05/23/2024,MEGAN.GUZMAN@YAHOO.COM,Megan Guzman,prod-061,Python Programming for Beginners,Books,4,37.04,158.14,0.0,9.98,returned,Apple Pay,761 Sherry Landing,United Kingdom,GBP
WEB17937,2023-02-28,brittanyandrews@gmail.com,Brittany Andrews,prod-047,Dumbbell Set Adjustable,Sports,1,161.34,164.1,24.24,7.16,delivered,PayPal,1256 Lori Dale,United States,USD
WEB27157,01/13/2023,Derrick.aguirre@yahoo.com,Derrick Aguirre,PROD014,Laptop Stand Aluminum,Electronics,1,41.91,50.31,0.0,8.4,pending,Apple Pay,45102 Johnson Garden Apt. 552,Germany,EUR
WEB20606,28.11.2024,Ryan.rodriguez@gmail.com,Ryan Rodriguez,prod-014,Laptop Stand Aluminum,Electronics,1,64.89,79.65,0.0,14.76,SHIPPED,Google Pay,71984 Rachael Shoal Apt. 844,United States,USD
WEB05218,2024-01-28,michaelgreen@gmail.com,Michael Green,PROD-055,Foam Roller Muscle,Sports,1,42.17,49.36,2.75,9.94,delivered,PayPal,21143 Justin Via,United States,USD
WEB04396,04/13/2024,lisasullivan@gmail.com,Lisa Sullivan,PROD019,Leather Wallet Bifold,Fashion,1,32.55,38.76,0.0,6.21,Delivered,Apple Pay,64940 Richard Island Suite 337,Germany,EUR
WEB13219,2023/12/11,alan.alvarez@hotmail.com,Alan Alvarez,PROD-021,Winter Jacket Insulated,Fashion,4,186.21,751.35,0.0,6.51,CANCELLED,Apple Pay,65142 Amber Isle Suite 868,United States,USD
WEB30414,2023-01-30,Marie.lewis@yahoo.com,Marie Lewis,PROD051,Sleeping Bag Cold Weather,Sports,1,129.03,130.41,12.66,14.04,Success,Debit Card,43523 Henry Locks Suite 419,United States,USD
WEB09273,26.12.2023,deborahgarcia@yahoo.com,Deborah Garcia,P065,Cookbook Healthy Recipes,Books,3,33.88,116.37,0.0,14.73,Shipped,Credit Card,57899 Alex Field,France,EUR
WEB16368,10/20/2023,Marie.cross@yahoo.com,Marie Cross,prod-049,Jump Rope Speed,Sports,1,15.73,21.5,1.41,7.18,Shipped,Debit Card,134 Sherman Meadow Suite 953,United States,USD
WEB18409,16.03.2023,BRIAN.HERNANDEZ@HOTMAIL.COM,Brian Hernandez,PROD-023,Baseball Cap Adjustable,Fashion,3,16.96,56.4,0.0,5.52,completed,PayPal,021 Burgess Prairie,United States,USD
WEB20969,11/15/2024,David.cooke@hotmail.com,David Cooke,PROD042,Table Lamp Modern,Home & Kitchen,3,59.64,185.68,0.0,6.76,completed,Credit Card,0122 Deborah Harbors Suite 686,United States,usd
WEB14868,16.12.2023,RALPH.WILLIAMS@YAHOO.COM,Ralph Williams,prod-044,Wall Clock Digital,Home & Kitchen,1,19.59,27.41,0.0,7.82,Canceled,Apple Pay,698 Julia Pass,United States,USD
WEB32044,05/16/2023,KARA.JOHNSON@YAHOO.COM,Kara Johnson,PROD-044,Wall Clock Digital,Home & Kitchen,1,35.84,49.42,0.0,13.58,Completed,Google Pay,41252 Tony Glen,United Kingdom,GBP
WEB13841,09/02/2023,THOMAS.WADE@YAHOO.COM,Thomas Wade,PROD060,Gym Bag Duffel,Sports,4,49.92,206.44,0.0,6.76,Delivered,Google Pay,6428 Norman Hills Apt. 407,United States,USD
WEB18290,2023/11/10,Angela.rosario@gmail.com,Angela Rosario,P044,Wall Clock Digital,Home & Kitchen,5,36.22,188.75,0.0,7.65,RETURNED,Credit Card,85110 Jane Flats Apt. 294,United Kingdom,GBP
WEB21722,02/13/2023,danielwalker@hotmail.com,Daniel Walker,P024,Leather Belt Classic,Fashion,2,24.79,62.9,0.0,13.32,Pending,Credit Card,32383 Daniel Wells Apt. 633,Germany,EUR
WEB05831,2023/07/28,ashley.salinas@gmail.com,Ashley Salinas,PROD006,Mechanical Keyboard,Electronics,1,130.85,137.89,0.0,7.04,Shipped,Credit Card,510 Heather Run,United States,USD
WEB26096,02.11.2024,Susan.hines@hotmail.com,Susan Hines,prod-001,Wireless Bluetooth Headphones,Electronics,1,58.58,67.03,0.0,8.45,CANCELLED,PayPal,373 Lori Flat,United States,USD
WEB10189,01/19/2023,joykelly@hotmail.com,Joy Kelly,PROD009,Smart Watch Fitness Tracker,Electronics,3,152.46,444.8,18.57,5.99,In Progress,Credit Card,646 Jennifer Ferry,United States,USD
WEB21633,06.08.2024,kimberly.blackburn@gmail.com,Kimberly Blackburn,P020,Running Shoes Athletic,Fashion,2,49.24,111.37,0.0,12.89,Pending,Credit Card,05225 Oneal Dale,United States,USD
WEB31325,2024/07/25,deborah.ross@gmail.com,,PROD026,Sneakers Casual,Fashion,3,101.8,316.97,0.0,11.57,Shipped,PayPal,832 Rodriguez Rest Suite 175,United States,USD
WEB05690,01-Dec-2023,KELSEY.MOORE@YAHOO.COM,Kelsey Moore,PROD037,Vacuum Cleaner Cordless,Home & Kitchen,1,299.52,269.62,37.3,7.4,Delivered,Credit Card,2243 Kevin Viaduct Suite 670,United Kingdom,GBP
WEB32069,24.07.2024,RICHARD.BURGESS@YAHOO.COM,Richard Burgess,P023,Baseball Cap Adjustable,Fashion,2,21.18,54.93,0.0,12.57,pending,Google Pay,40771 Sandra Locks Suite 440,United States,USD
WEB12019,19-Apr-2024,amy.bush@yahoo.com,Amy Bush,P053,Water Bottle Insulated 32oz,Sports,5,30.32,136.02,30.15,14.57,Shipped,Apple Pay,2815 Debra Row,United States,USD
WEB20933,13-Jan-2024,johnallen@yahoo.com,John Allen,PROD-068,Children's Book Set,Books,1,57.07,66.45,0.0,9.38,completed,Google Pay,76695 Webb Fords Suite 525,United States,USD
WEB01750,24.06.2024,brian.mejia@gmail.com,Brian Mejia,P049,Jump Rope Speed,Sports,5,12.15,67.17,0.0,6.42,PENDING,Google Pay,29330 Eric Ford,Germany,EUR
WEB22393,04.07.2023,Antonio.mcfarland@yahoo.com,Antonio Mcfarland,PROD070,Science Fiction Trilogy,Books,1,55.69,62.18,0.0,10.14,Completed,PayPal,719 Arthur Lodge Apt. 757,United States,USD
WEB05141,17.05.2024,jonathan.walker@hotmail.com,Jonathan Walker,P045,Picture Frame Set,Home & Kitchen,2,25.57,65.25,0.0,14.11,CANCELLED,Debit Card,527 Cox Circle,United States,USD
WEB15398,03.12.2024,Laurie.jones@yahoo.com,Laurie Jones,P018,Denim Jeans Slim Fit,Fashion,1,45.05,47.65,2.98,5.58,Completed,Debit Card,176 Patterson Manors Apt. 773,United States,USD
WEB04098,02.10.2024,MICHAEL.BURNS@GMAIL.COM,Michael Burns,PROD-047,Dumbbell Set Adjustable,Sports,1,183.59,193.42,0.0,9.83,RETURNED,Credit Card,006 Moore Fields,United States,USD
WEB18497,07/14/2023,karendennis@gmail.com,Karen Dennis,PROD-054,Fitness Tracker Band,Sports,1,34.73,42.43,1.75,9.45,Shipped,Credit Card,166 Walter Mall,United States,USD
WEB20326,02/28/2023,LINDA.YOUNG@GMAIL.COM,Linda Young,PROD046,Yoga Mat Extra Thick,Sports,1,59.1,73.92,0.0,14.82,Completed,Google Pay,28491 Christopher Brook,United States,USD
WEB32184,2024/07/20,julie.garcia@yahoo.com,Julie Garcia,PROD-009,Smart Watch Fitness Tracker,Electronics,3,297.37,776.73,126.71,11.33,Delivered,Credit Card,307 Powell Turnpike,United States,USD
WEB17404,2024/03/03,samantha.valencia@gmail.com,Samantha Valencia,PROD-012,HDMI Cable 6ft,Electronics,3,22.92,66.72,11.1,9.06,SUCCESS,Google Pay,46961 Schwartz Road Suite 660,United States,USD
WEB07257,2024/11/20,Alyssa.santiago@gmail.com,Alyssa Santiago,PROD016,Men's Cotton T-Shirt Classic,Fashion,1,34.12,47.39,0.0,13.27,Delivered,Debit Card,0499 Frank River Apt. 624,Germany,EUR
WEB03420,2023/07/28,billypalmer@hotmail.com,Billy Palmer,PROD-068,Children's Book Set,Books,1,49.39,58.27,0.0,8.88,shipped,Google Pay,557 Crystal Skyway,United States,USD
WEB25626,09.01.2024,brianna.sullivan@gmail.com,Brianna Sullivan,PROD034,Bedding Set Queen Size,Home & Kitchen,1,149.79,151.36,10.81,12.38,completed,Credit Card,7014 Watkins Roads Apt. 510,United States,USD
WEB01754,12-May-2024,amanda.navarro@hotmail.com,Amanda Navarro,prod-028,Backpack Travel,Fashion,2,36.79,81.01,0.0,7.43,completed,Credit Card,0820 Kim Trafficway Suite 927,United Kingdom,GBP
WEB30291,25-Feb-2023,Kimberly.jones@hotmail.com,Kimberly Jones,PROD-009,Smart Watch Fitness Tracker,Electronics,1,149.45,157.81,0.0,8.36,Success,Credit Card,268 Todd Mews,United States,USD
WEB03127,2023/02/22,JAMES.JOHNSON@HOTMAIL.COM,James Johnson,PROD-058,Tennis Racket Beginner,Sports,1,119.79,127.88,0.0,8.09,PENDING,Debit Card,20514 Rocha Skyway,United States,USD
WEB16133,24-Feb-2024,Juan.young@gmail.com,Juan Young,PROD-050,Camping Tent 4-Person,Sports,3,275.36,839.22,0.0,13.14,Pending,Debit Card,48029 William Stravenue Suite 056,United States,USD
WEB25144,2024-04-29,Derrick.lee@hotmail.com,Derrick Lee,PROD049,Jump Rope Speed,Sports,1,16.7,22.49,2.17,7.96,COMPLETED,Apple Pay,6952 Good Extension,United States,USD
WEB16740,10.08.2023,JOSHUA.RAMOS@YAHOO.COM,Joshua Ramos,P024,Leather Belt Classic,Fashion,2,25.33,56.35,0.0,5.69,SHIPPED,Debit Card,793 Schmidt Ferry Apt. 698,United States,usd
WEB01990,10/20/2024,MARY.DEAN@GMAIL.COM,Mary Dean,P050,Camping Tent 4-Person,Sports,1,288.97,301.67,0.0,12.7,Shipped,PayPal,9471 Trevor Ramp,United States,USD
WEB02336,2023/10/25,Paul.leonard@yahoo.com,Paul Leonard,PROD-079,Body Lotion Moisturizing,Beauty,3,17.28,58.59,3.89,10.64,Shipped,Google Pay,5252 Melton Stravenue Suite 322,United Kingdom,GBP
WEB20353,2024-03-14,mary.moon@gmail.com,Mary Moon,PROD003,USB-C Fast Charger,Electronics,2,33.83,73.71,0.0,6.05,Completed,PayPal,940 Lewis Place,United States,usd
WEB14040,2024-07-31,Jasmine.moore@hotmail.com,Jasmine Moore,prod-032,Coffee Maker 12-Cup,Home & Kitchen,1,33.98,40.75,2.01,8.78,Shipped,Apple Pay,94553 Derek Forks Suite 575,United States,USD
WEB23222,08/08/2024,margaret.barrett@hotmail.com,Margaret Barrett,PROD-063,Fiction Novel Bestseller,Books,1,15.08,24.28,1.02,10.22,pending,Credit Card,256 Michael Mission,United States,USD
WEB09563,04.12.2024,alecjones@gmail.com,Alec Jones,PROD014,Laptop Stand Aluminum,Electronics,2,53.43,93.63,19.1,5.87,Completed,Google Pay,4777 Patrick Ways Suite 816,United Kingdom,GBP
WEB09741,29.03.2023,Andrew.lawrence@gmail.com,Andrew Lawrence,P060,Gym Bag Duffel,Sports,3,37.66,112.49,9.83,9.34,Completed,Credit Card,904 Nichols Locks Suite 925,United States,USD
WEB09937,2023/12/11,LISA.BAUER@GMAIL.COM,Lisa Bauer,prod-048,Resistance Bands Set,Sports,3,22.47,75.25,0.0,7.84,Dispatched,Credit Card,30675 Francis Park,United States,USD
WEB26963,2024/12/07,PAMELA.ANDREWS@YAHOO.COM,Pamela Andrews,P008,Portable Power Bank 20000mAh,Electronics,1,34.72,40.85,0.0,6.13,Shipped,Credit Card,4177 Hill Squares Apt. 997,United Kingdom,gbp
WEB04732,03.08.2024,JOHN.BRAUN@YAHOO.COM,John Braun,P024,Leather Belt Classic,Fashion,1,39.52,51.58,1.67,13.73,Complete,Apple Pay,91286 Kathy Neck,United Kingdom,GBP
WEB17950,09.12.2023,mary.vasquez@gmail.com,Mary Vasquez,prod-065,Cookbook Healthy Recipes,Books,4,33.32,142.6,0.0,9.32,Shipped,Google Pay,257 Guerra Inlet,United States,usd
WEB19500,13-Mar-2023,SARAH.GALLAGHER@GMAIL.COM,Sarah Gallagher,PROD078,Nail Polish Set 10 Colors,Beauty,2,23.63,57.01,0.0,9.75,Complete,Google Pay,63614 Galloway Loaf Suite 833,Germany,€
WEB27785,04/13/2024,Christopher.wright@hotmail.com,Christopher Wright,PROD058,Tennis Racket Beginner,Sports,1,82.65,97.58,0.0,14.93,COMPLETED,Debit Card,445 Holden Key,Germany,EUR
WEB30481,2024/09/16,KATHERINE.LEBLANC@GMAIL.COM,Katherine Leblanc,prod-038,Air Fryer 5-Quart,Home & Kitchen,1,115.59,127.15,0.0,11.56,Shipped,Credit Card,6782 Vincent Village Apt. 729,Germany,€
WEB20598,11-Apr-2024,barbarascott@hotmail.com,Barbara Scott,PROD022,Sunglasses Polarized,Fashion,1,103.33,118.0,0.0,14.67,Success,PayPal,01534 Richard Trace,United Kingdom,GBP
WEB00460,04/02/2023,eric.jackson@gmail.com,Eric Jackson,PROD052,Hiking Backpack 50L,Sports,1,153.54,146.11,20.87,13.44,Complete,Google Pay,86946 Michael Radial Apt. 745,France,EUR
WEB31091,2024-10-18,donaldjordan@yahoo.com,Donald Jordan,PROD-070,Science Fiction Trilogy,Books,1,41.53,47.45,6.24,12.16,completed,Apple Pay,27257 James Junctions Suite 698,United States,USD
WEB13745,2023/06/16,leahadams@yahoo.com,Leah Adams,PROD-070,Science Fiction Trilogy,Books,3,70.05,201.03,19.55,10.43,Delivered,Credit Card,,United States,USD
WEB03369,28-Dec-2024,ANNETTE.BRANCH@GMAIL.COM,Annette Branch,prod-074,Makeup Brush Set 12-Piece,Beauty,4,42.84,184.12,0.0,12.76,Shipped,Google Pay,6220 Ricardo Rapid Suite 753,United States,USD
WEB14788,17.06.2024,AARON.HUDSON@YAHOO.COM,Aaron Hudson,PROD061,Python Programming for Beginners,Books,1,48.01,56.49,0.0,8.48,Success,Google Pay,,United States,USD
WEB24371,31.01.2024,devon.raymond@gmail.com,Devon Raymond,PROD052,Hiking Backpack 50L,Sports,1,93.05,95.32,11.28,13.55,Success,Debit Card,16213 Herrera Flat Apt. 342,United Kingdom,GBP
WEB02599,30-May-2024,JULIE.BEASLEY@HOTMAIL.COM,Julie Beasley,PROD060,Gym Bag Duffel,Sports,1,25.35,39.8,0.0,14.45,Completed,Debit Card,4202 Adams Hollow Apt. 859,United States,USD
WEB13078,09-Sep-2024,JENNIFER.CAMPBELL@GMAIL.COM,Jennifer Campbell,prod-039,Blender High-Speed,Home & Kitchen,2,124.39,235.87,23.68,10.77,canceled,PayPal,3372 Williams Views Suite 286,United States,USD
WEB31227,2024-12-21,brandonpowers@yahoo.com,Brandon Powers,PROD068,Children's Book Set,Books,1,53.48,59.0,0.0,5.52,Shipped,Credit Card,52682 Henry Bridge Suite 321,United States,USD
WEB27660,25.10.2024,MATTHEW.WALLACE@HOTMAIL.COM,Matthew Wallace,P051,Sleeping Bag Cold Weather,Sports,1,122.99,128.39,0.0,5.4,PENDING,Google Pay,82341 David Circles,United States,USD
WEB18145,2024/12/17,gerald.garrett@yahoo.com,Gerald Garrett,PROD-024,Leather Belt Classic,Fashion,1,44.26,57.43,0.0,13.17,Shipped,PayPal,08208 Frank Route,United States,USD
WEB07128,13.10.2024,sean.hughes@yahoo.com,Sean Hughes,PROD-030,Watch Analog Classic,Fashion,3,213.49,648.56,3.07,11.16,Shipped,PayPal,46473 Wells Brooks Apt. 722,United Kingdom,GBP
WEB12677,2024-11-21,DARREN.BOYD@YAHOO.COM,,P009,Smart Watch Fitness Tracker,Electronics,2,177.38,361.44,0.0,6.68,Complete,Debit Card,1679 Amy Stream Suite 041,United States,USD
WEB19501,2023/11/22,dustinwilliams@gmail.com,Dustin Williams,P073,Electric Toothbrush,Beauty,3,102.39,313.5,0.0,6.33,Canceled,Google Pay,7916 Evelyn Knolls Suite 319,Germany,EUR
WEB03498,09.06.2024,jamesscott@hotmail.com,James Scott,prod-028,Backpack Travel,Fashion,1,-51.1,-43.15,0.0,7.95,PENDING,Credit Card,8237 Davis Way Apt. 578,United Kingdom,GBP
WEB18949,17.01.2023,JAMES.RILEY@HOTMAIL.COM,James Riley,P026,Sneakers Casual,Fashion,2,115.4,245.74,0.0,14.94,Delivered,Debit Card,504 Sarah Underpass,United States,USD
WEB14530,02/29/2024,darrellbarton@gmail.com,Darrell Barton,P002,Smartphone Case Premium,Electronics,3,39.99,117.19,12.66,9.88,Completed,Google Pay,2889 Heather Harbor,United States,USD
WEB22357,22-Jan-2024,christopher.hernandez@yahoo.com,Christopher Hernandez,PROD006,Mechanical Keyboard,Electronics,2,105.14,196.65,0.0,10.41,Success,Google Pay,611 Garcia Knolls,United States,USD
WEB11496,2024-05-16,valerieserrano@yahoo.com,Valerie Serrano,P025,Dress Shirt Long Sleeve,Fashion,1,68.64,77.62,0.0,8.98,Canceled,Debit Card,4450 Richard Pines,United States,USD
WEB01862,24.02.2024,Mary.wright@hotmail.com,Mary Wright,P071,Skincare Set Anti-Aging,Beauty,2,80.99,173.24,0.0,11.26,CANCELLED,Debit Card,01217 Cheryl Squares,United States,USD
WEB17613,2024/11/21,nancy.medina@hotmail.com,Nancy Medina,prod-039,Blender High-Speed,Home & Kitchen,1,117.08,129.7,0.0,12.62,delivered,Credit Card,0820 Brian Mall Apt. 626,United States,usd
